objectid,filename,title,format,description,creator,date,item_information,subject,location,source,identifier,rights,rightsstatement,type,language
standard002,standard_july_1985.pdf,"Standard, Vol. 1, July 1985, No. 2",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1985-07,two-page;newsletter,"President's Letter; ""Training for Battle""; News; Dean's List","36.8516° N, 75.9792° W",SFWBC Archives,https://drive.google.com/file/d/1gcwC7xCLzL8LvFZ51dmkQvWThc2gswkn/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard003,standard_sept_1985.pdf,"Standard, Vol. 1, September 1985, No. 3",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1985-09,two-page;newsletter,"""From the President""; Special Events; ""Equipping for Service""; Banquet; Honorary Doctorates","36.8516° N, 75.9792° W",SFWBC Archives,https://drive.google.com/file/d/1srhB4ji5yihUkNiLh0kjlj6FbkBDo_GW/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard004,standard_nov_1985.pdf,"Standard, Vol. 1, November 1985, No. 4",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1985-11,two-page;newsletter,"""The President's Message""; ""Exhibiting His Holiness""; Get Acquainted Days; Calendar","36.8516° N, 75.9792° W",SFWBC Archives,https://drive.google.com/file/d/1eCavG4P1bpPLgon6sOTOoSdpaKEIwkny/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard005,standard_jan_1986.pdf,"Standard, Vol. 1, January 1986, No. 5",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1986-01,two-page;newsletter,"""The President's Message""; Evangelism Conference; Tip-Off Tournament; Honor Roll; Get Acquainted Days; Enrollment","36.8516° N, 75.9792° W",SFWBC Archives,https://drive.google.com/file/d/1Qj6rni5tmdhM469ZqIclWZ7UCpvurLRq/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard006,standard_mar_1986.pdf,"Standard, Vol. 1, March 1986, No. 6",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1986-03,two-page;newsletter,"""You Can Attend Southeastern""; Summer School; Get Acquainted Days; Upcoming Events; Choir Tour; Summer Internship","36.8516° N, 75.9792° W",SFWBC Archives,https://drive.google.com/file/d/18csJDXk9jb9QK4DNjOG1964tA--0tlg4/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard007,standard_may_1986.pdf,"Standard, Vol. 1, May 1986, No. 7",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1986-05,two-page;newsletter,Graduation; Get Acquainted Days; Summer Groups; Student Loans; Southeastern Banquet; Evangelism Conference; Interns; The Jerry Johnston Crusade,"36.8516° N, 75.9792° W",SFWBC Archives,https://drive.google.com/file/d/1OdnCD-m50ELDOVV3k-mQCC9_3hFyYNm_/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard008,standard_july_1986.pdf,"Standard, Vol. 1, July 1986, No. 8",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1986-07,two-page;newsletter,"""There Is a Difference at Southeastern""; Who Should Attend Southeastern; Dean's List; Upcoming Events","36.8516° N, 75.9792° W",SFWBC Archives,https://drive.google.com/file/d/13sunbP3XvnaAs_pKr1NzFQYdWjHIoiYp/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard009,standard_sept_1986.pdf,"Standard, Vol. 1, September 1986, No. 9",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1986-09,two-page;newsletter,"Enrollment; Friends of Southeastern Dinner; Get Acquainted Days; Missions Conference; Southeastern Land Acquisition; Summer Groups; ""Could You Help?""","36.8516° N, 75.9792° W",SFWBC Archives,https://drive.google.com/file/d/1_yf2YTp7tbv-oePmWiXDqgseL3U4_Int/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard010,standard_nov_1986.pdf,"Standard, Vol. 1, November 1986, No. 10",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1986-11,two-page;newsletter,"""Catch the Spirit""; Missions Conference; Conference on Evangelism and Soul Winning; Upcoming Events; Updates; Testimonies","36.8516° N, 75.9792° W",SFWBC Archives,https://drive.google.com/file/d/1gAbECF2mt-clUmAuUqxCePBwCx85y2mH/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard011,standard_jan_1987.pdf,"Standard, Vol. 2, January 1987, No. 1",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1987-01,four-page; newsletter,"""Basic Necessities Only or Enlightening Students & Building Buildings, Too!""; ""Fifth Annual Conference on Evangelism and Soul Winning""; Timothy Program; Dean's List; Tip-Off Tournament; Get Acquainted Days; College Updates; Enrollment","36.8516° N, 75.9792° W",SFWBC Archives,https://drive.google.com/file/d/1G593lf3e4FsTvDCtLOt7QOhLeqVthAbr/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard012,standard_mar_1987.pdf,"Standard, Vol. 2, March 1987, No. 2",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1987-03,four-page; newsletter,"""The Heart of the Matter""; Choir Tour; Campus Relocation; Music Group Schedule; ""Tools and Training""; Graduation; Summer School; College Updates; Upcoming Events; Enrollment","36.8516° N, 75.9792° W",SFWBC Archives,https://drive.google.com/file/d/1Om9CpbUN2Rm2adhKCiHPf_WRgmLxthUa/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard013,standard_may_1987.pdf,"Standard, Vol. 2, May 1987, No. 3",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1987-05,four-page; newsletter,"""Southeastern Purchases 60.86 Acres""; ""Dr. Michael Paramore Joins Faculty of Southeastern""; ""Fall Semester to Begin in September""; Graduation; Teacher Education Department; Honor Roll; Summer Groups; Southeastern Banquet; Evangelism Conference; Upcoming Events; New Address","36.8516° N, 75.9792° W",SFWBC Archives,https://drive.google.com/file/d/1HYbtzSiYXYzPRXZMUYdXzSIJTEXh9eDp/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard014,standard_july_1987.pdf,"Standard, Vol. 2, July 1987, No. 4",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1987-07,two-page;newsletter,"""A Complete Update on the Building of the Exciting Southeastern Free Will Baptist College Campus""; Relocation Information; Campus Opening Information; New Address","36.8516° N, 75.9792° W",SFWBC Archives,https://drive.google.com/file/d/1-YMhGTjhXy5nv9CbDpqvPIbll1i9mCgC/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard015,standard_sept_1987.pdf,"Standard, Vol. 2, September 1987, No. 5",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1987-10,two-page;newsletter,"""October 1 . . . A New Beginning""; Missions Conference; Dr. Joe Haas; Coming Events; Night Classes; Needs; Get Acquainted Days; Enrollment; National Banquet; Summer Groups","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1qjfaiyW6S9mnbj6L-DiTldWxcd0VuMwl/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard016,standard_dec_1987.pdf,"Standard, Vol. 2, December 1987, No. 6",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1987-12,four-page; newsletter,"""First Phase of Southeastern Campus Completed""; Enrollment; Cramerton Gift; Missionary Conference; Staff; Get Acquainted Days; Tip-Off Tournament; Bond Sale; ""If You Wait 'til September, You'll Never Go . . .""; Testimonies; ""Why Teach Doctrine?""","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1WzGlkCqotRwqO7b0hCt8NntjlpWTE6o3/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard017,standard_jan_1988.pdf,"Standard, Vol. 3, January 1988, No. 1",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1988-01,four-page; newsletter,"""Evangelism Conferenct to Be Great""; ""Happy Birthday, Dr. Ange""; Christian Service; ""Principle and Practice in Pastoral Training""; Second Mile Campaign; Staff; Enrollment; ""Clean-Up"" Project; Needs; Bonds; Testimony; Library Book Campaign; News","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1VYuQkAeh6fC9IERRJDHmhcCn-je0nKPm/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard018,standard_mar_1988.pdf,"Standard, Vol. 3, March 1988, No. 2",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1988-03,four-page; newsletter,"""In Retrospect . . .""; Prospective Students; Bonds; Needs; Donations; Graduation; Senior Gift; Testimony; Second Mile; Timothy Program; Honor Roll","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1qsMfeSwejTw-XYkRjJIAeUbmhGWrZkPn/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard019,standard_may_1988.pdf,"Standard, Vol. 3, May 1988, Vol. 3",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1988-05,four-page; newsletter,"""Our Promotional Men Need Your Help""; Friends of the Library Project; Get Acquainted Days; Needs; Conference News; Miracle Day; Timothy Program; Summer Groups","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1nkwkGChIixWNp28svrai5B-m7Hgj8bHT/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard020,standard_july_1988.pdf,"Standard, Vol. 3, July 1988, No. 4",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1988-07,four-page; newsletter,Graduation; New Programs; Second Mile; National Association Supper; Opening of School; Board Meeting; Staff; Summer Fundraiser; Campus Projects; Honor Roll; Needs; Upcoming Events,"35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1Gzo2C_4oxW7_hdMvbve9EkeL_trcqk0F/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard021,standard_sept_1988.pdf,"Standard, Vol. 3, September 1988, No. 5",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1988-09,four-page; newsletter,Enrollment; Campus Revival; Missions Conference; Get Acquainted Days; Administrative Building; Tip-Off Tournament; Business Department; Staff; Campus Beautification; Summer Groups; Donations; Ball Field Progress,"35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1aL4kgT2mjCoXaVyX09rBx57syWRDiSOy/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard022,standard_nov_1988.pdf,"Standard, Vol. 3, November 1988, No. 6",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1988-11,four-page; newsletter,"""Why Southeastern Free Will Baptist College?""; Chapel Pulpit; Patti Lee House; Department of Christian Service; Choir Recording Release; Enrollment; Mid-Atlantic Youth Conference; Upcoming Events; Night Classes; Board Meeting; Donations","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/12Z966dxvpamWnlB20oOsNpc5scqkPQD_/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard023,standard_jan_1989.pdf,"Standard, Vol. 4, January 1989, No. 1",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1989-01,four-page; newsletter,"""Outstanding Spring Conference to Attract Many""; Needs; Cooperating Board; Christmas Challenge; Interterm; Tip-Off Tournament; Honor Roll; Updates; Donations; Enrollment; College Groups","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1LKipndwzb-05oap83JPtiBop37yB-jmD/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard024,standard_may_1989.pdf,"Standard, Vol. 4, May 1989, No. 2",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1989-05,four-page; newsletter,"""Dr. Ange Resigns Presidency of Southeastern Free Will Baptist College""; Office of Development; Updates; Search Committee; Needs; Dean's List; New Scholarships; Staff; Conference on Revival and Soul Winning; Music Recording; Get Acquainted Days; College Quartet; Department of Christian Service","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1Ryit9IDFpOI3F6ehJA_0pS--716G7Ufe/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard025,standard_july_1989.pdf,"Standard, Vol. 4, July 1989, No. 3",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1989-07,four-page; newsletter,"""Reflections Concerning Southeastern free Will Baptist College""; Graduation; Music Education Program; Enrollment; Bob King Heart Fund; Honoring Leaders; Staff; Second Mile Churches; Coming Events","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1FdFGy56MAKGLv09V69p02OLxk_YzEJ3n/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard026,standard_sept_1989.pdf,"Standard, Vol. 4, September 1989, No. 4",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1989-09,four-page; newsletter,"""A Statement of Direction and Purpose""; Missions Conference; Student Body Project; Student Leadership Conference; Get Aquainted Days; Enrollment; ""Giving His Best to the Master""; Revival and Soul Winning Conference; Wish List; Staff Retreat","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/10zR_raoh2htkvDLumC2heiWo8buDxpi8/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard027,standard_nov_1989.pdf,"Standard, Vol. 4, November 1989, No. 5",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1989-11,four-page; newsletter,"""From the 'Other' Side of the Bed""; Staff; Honors; ""Now Is the Time""; Donations; Upcoming Events; Tip Off Tournament; Exhibition Team; Enrollment","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1f54w3I5jJL2la1FJ1fZ0uxEry9WaObQh/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard028,standard_jan_1990.pdf,"Standard, Vol. 5, January 1990, No. 1",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1990-01,four-page; newsletter,"""Annual Spring Conference Announced""; Tip-Off Tournament; Honor Roll; ""Update on Mischa""; Get Acquainted Days; Donations; Campus Life; Bob King Video; Upcoming Events; Craft Festival; Needs","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1LxrFaaz4Fl8FBhFMc9-bibRliR5XEgXK/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
